model,benchmark,lang,shot,accuracy,sd,runs
bloom-7b1,xsc,ru,4,59.760000000000005,0.5727128425310547,5
bloom-7b1,xsc,sw,0,61.0,,1
bloom-7b1,xsc,sw,4,61.64,1.1260550608207398,5
bloom-7b1,xsc,te,0,61.8,,1
bloom-7b1,xsc,te,4,62.4,0.2000000000000004,5
bloom-7b1,xsc,zh,0,67.0,,1
bloom-7b1,xsc,zh,4,70.72,0.8074651695274517,5
xglm-1.7B,encopa,en,0,64.0,,1
xglm-1.7B,encopa,en,4,62.2,3.03315017762062,5
xglm-1.7B,xcopa,et,0,55.2,,1
xglm-1.7B,xcopa,et,4,53.0,0.7999999999999995,5
xglm-1.7B,xcopa,ht,0,59.0,,1
xglm-1.7B,xcopa,ht,4,55.6,1.0954451150103324,5
xglm-1.7B,xcopa,id,0,58.4,,1
xglm-1.7B,xcopa,id,4,60.2,0.8602325267042646,5
xglm-1.7B,xcopa,it,0,53.2,,1
xglm-1.7B,xcopa,it,4,52.92,1.0059821071967454,5
xglm-1.7B,xcopa,qu,0,52.4,,1
xglm-1.7B,xcopa,qu,4,50.04,0.7797435475847172,5
xglm-1.7B,xcopa,sw,0,56.4,,1
xglm-1.7B,xcopa,sw,4,55.44,1.7798876369029624,5
xglm-1.7B,xcopa,ta,0,54.4,,1
xglm-1.7B,xcopa,ta,4,54.760000000000005,0.43358966777357605,5
xglm-1.7B,xcopa,th,0,54.4,,1
xglm-1.7B,xcopa,th,4,52.96,0.6542170893518446,5
xglm-1.7B,xcopa,tr,0,50.8,,1
xglm-1.7B,xcopa,tr,4,52.8,0.9273618495495703,5
xglm-1.7B,xcopa,vi,0,55.4,,1
xglm-1.7B,xcopa,vi,4,55.4,0.7211102550927974,5
xglm-1.7B,xcopa,zh,0,51.8,,1
xglm-1.7B,xcopa,zh,4,54.96,1.6697305171793428,5
xglm-1.7B,xsc,ar,0,60.8,,1
xglm-1.7B,xsc,ar,4,57.8,1.1489125293076061,5
xglm-1.7B,xsc,es,0,63.8,,1
xglm-1.7B,xsc,es,4,59.879999999999995,1.360882066896321,5
xglm-1.7B,xsc,eu,0,60.8,,1
xglm-1.7B,xsc,eu,4,60.0,0.6324555320336765,5
xglm-1.7B,xsc,hi,0,60.0,,1
xglm-1.7B,xsc,hi,4,60.2,0.9486832980505158,5
xglm-1.7B,xsc,id,0,63.8,,1
xglm-1.7B,xsc,id,4,61.64,0.654217089351846,5
xglm-1.7B,xsc,my,0,58.2,,1
xglm-1.7B,xsc,my,4,57.32000000000001,0.609918027279074,5
xglm-1.7B,xsc,ru,0,67.4,,1
xglm-1.7B,xsc,ru,4,66.16,0.29664793948382706,5
xglm-1.7B,xsc,sw,0,63.0,,1
